participant,condition,engine,trial_index,audio_identifier,speaker,voice_type,window_width,window_height,person_side,robot_side,gaze_sample_count,gaze_duration_ms,person_dwell_ms,robot_dwell_ms,off_dwell_ms,total_observed_gaze_time_ms,person_gaze_pct,eyetracking_mos,gaze_sample_rate_hz,gaze_sample_rate_hz_strict,valid_dwell_pct,person_box_left,person_box_top,person_box_right,person_box_bottom,robot_box_left,robot_box_top,robot_box_right,robot_box_bottom
P14,A,new,121,08 segundos brrs-21-syntacc-295Ksteps F-n-20db,brrs-21,synthetic,1280.0,800.0,right,left,263,8964.0,3977.0,2836.0,2151.0,8964.0,58.373697343314255,3,29.33958054439982,29.228023203926817,76.00401606425703,861.5,196.75,1266.5,600.75,13.5,196.25,418.5,601.25
P14,A,new,75,04 segundos brsp-11-gt M-n-20db,brsp-11,natural,1280.0,800.0,right,left,138,4580.0,2194.0,2386.0,0.0,4580.0,47.903930131004365,3,30.131004366812228,29.912663755458514,100.0,861.5,196.25,1266.5,601.25,13.5,196.25,418.5,601.25
P14,A,new,81,05 segundos bral-23-gt M-n-20db,bral-23,natural,1280.0,800.0,right,left,147,4951.0,4951.0,0.0,0.0,4951.0,100.0,5,29.69097152090487,29.488992122803477,100.0,861.5,196.25,1266.5,601.25,13.5,196.25,418.5,601.25
P14,A,new,65,04 segundos brpr-14-syntacc-295Ksteps F-n-20db,brpr-14,synthetic,1280.0,800.0,right,left,126,4167.0,2277.0,1890.0,0.0,4167.0,54.64362850971922,3,30.23758099352052,29.997600191984642,100.0,861.5,196.75,1266.5,600.75,13.5,196.25,418.5,601.25
P15,A,new,84,05 segundos brce-22-syntacc-295Ksteps M-n-20db,brce-22,synthetic,1907.0,872.0,left,right,157,5069.0,940.9999999962747,4128.000000003725,0.0,5069.0,18.563819293672807,1,30.972578417833894,30.77530084829355,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,89,05 segundos brpe-22-syntacc-295Ksteps M-n-20db,brpe-22,synthetic,1907.0,872.0,left,right,167,5605.400000002235,769.4999999962747,4385.600000005215,450.30000000074506,5605.400000002235,14.926965529205102,1,29.792699896516467,29.614300495938526,91.96667499196194,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,64,04 segundos brmg-26-syntacc-295Ksteps M-n-20db,brmg-26,synthetic,1907.0,872.0,right,left,123,3981.5,3345.3000000044703,636.1999999955297,0.0,3981.5,84.02109757640262,5,30.89287956800201,30.641717945497927,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,124,09 segundos brpb-20-syntacc-295Ksteps M-n-20db,brpb-20,synthetic,1907.0,872.0,right,left,276,8983.0,6918.20000000298,2064.7999999970198,0.0,8983.0,77.01436045867727,4,30.724702215295558,30.61338083045753,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,81,05 segundos bral-23-gt M-n-20db,bral-23,natural,1907.0,872.0,right,left,155,4988.199999999255,3905.9999999962747,1082.2000000029802,0.0,4988.199999999255,78.30479932634734,4,31.073333066040487,30.872859949485388,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,107,06 segundos brce-20-syntacc-295Ksteps M-n-20db,brce-20,synthetic,1907.0,872.0,right,left,194,6370.60000000149,1081.9000000022352,5288.699999999255,0.0,6370.60000000149,16.98270178636207,1,30.45239066963153,30.295419583705595,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,77,04 segundos brsp-25-syntacc-295Ksteps M-n-20db,brsp-25,synthetic,1907.0,872.0,right,left,125,4119.599999997765,3449.60000000149,430.79999999701977,239.19999999925494,4119.599999997765,88.8980517473151,5,30.342751723484763,30.100009709696884,94.19361103021204,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,105,06 segundos brba-22-syntacc-295Ksteps M-n-20db,brba-22,synthetic,1907.0,872.0,left,right,209,6788.10000000149,5918.800000000745,869.3000000007451,0.0,6788.10000000149,87.19376556031064,5,30.78917517419515,30.641858546567423,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
